Country Name,CPI_AnnualChange,GDP_Growth,MoneySupply_GDPpct,ExchangeRate_LCUperUSD,CPI_log,MoneySupply_log,ExchangeRate_log
Burkina Faso,4.322551630783445,4.4108112785249025,20.273284418745416,410.7592696281715,1.3413023849843049,2.9072240467718253,5.944740984510454
Burundi,10.199195673924757,2.51418010969234,20.676653339778355,625.7238851670428,2.200955151292892,2.9827152193940116,5.67987379751327
Cabo Verde,3.697530043194834,6.102589157167819,66.20069623064977,68.6988059509376,1.4238754293710383,4.144343355397643,4.127581403736602
Cambodia,4.3204378454721475,4.591696100715109,41.55263664959117,2557.6977066539134,1.283574538998351,3.3935779829691572,6.904882226936804
Cameroon,5.638360880131223,3.611813731998189,16.60308248438178,410.7592696281715,1.6340604560746483,2.8406862933175407,5.944740984510454
Canada,3.722376057931172,3.0273027339807923,72.48788091082227,1.201845527439525,1.3887582906619826,4.210254427628461,0.7867648896241318
Caribbean small states,4.969377860591399,3.2737278116512574,50.462060847247294,,1.5054414298996897,3.908005758213719,
Cayman Islands,0.4646185135994754,1.5369385273355998,,0.8181061849400452,0.47699126031999173,,0.5975627232921357
Central African Republic,3.8619773663160513,1.3974170055999555,18.894365892318667,410.7592696281715,1.5481181968548714,2.9633285442733324,5.944740984510454
Central Europe and the Baltics,15.92829669947613,2.487011939403711,51.81976606128975,,1.876226712837438,3.9481883614140525,
Chad,3.869409651546261,3.535589838642954,10.89687594867126,410.7592696281715,1.487808852421869,2.432737588342724,5.944740984510454
Channel Islands,,0.7765888493001422,,0.5745197891012216,,,0.45028730310016124
Chile,39.50174855605188,3.9218735485563974,47.7279139103816,330.42876933880103,2.472226250988826,3.6941579954687067,4.36009192526987
China,4.533868922094978,7.920939073278745,126.22416182261107,4.945965778602073,1.2413786444305073,4.68956366878403,1.6808329606600705
Colombia,13.796448299853974,3.977076562726235,31.735544150713913,1222.7825687988882,2.469634706307706,3.446164502446313,5.713750841867494
Comoros,3.191998996635534,3.184815006239995,17.779634170588274,343.888303937198,1.533581590669729,2.8570750893651247,5.807768862251087
"Congo, Dem. Rep.",675.8544336303113,1.9872296895952528,10.818852218697572,369.7392371676033,3.8027053801782884,2.3309931293984345,2.535009045428518
"Congo, Rep.",3.6729235567289047,3.5612993545587344,18.98008988323547,410.7592696281715,1.2123403969510589,2.969038008193588,5.944740984510454
Costa Rica,10.89733223953228,4.462116422373475,37.2166520945397,233.33391431432693,2.0124186004781306,3.577173454239949,4.402326397048816
Cote d'Ivoire,5.266702846496525,4.33086532879418,25.262587215297394,410.7592696281715,1.5053861476574641,3.233986232711346,5.944740984510454
Croatia,120.84897475075367,1.356464393290104,,5.698765475391566,2.2765510724639957,,1.8324976418599115
Cuba,,2.5873590326344065,,0.9719777767777777,,,0.6785666117484246
Curacao,2.1815411423469224,-0.16174044169269772,,1.7900000000000003,1.0129789342806874,,1.0260415958332743
Cyprus,3.4217991860336205,4.911108208513305,,0.5483661572262245,1.285260589156617,,0.4303570342866628
Czechia,4.880572223806695,1.825708068378722,69.09325501808092,25.120997812500004,1.4907049015479783,4.235942542245369,3.241514508463621
Denmark,4.377276791889636,2.4793244124944827,52.90092305629187,6.702822426490812,1.480083262154487,3.9748757142172124,2.0329700812612237
Djibouti,3.425902200039763,5.591329753386042,71.96019335477963,184.81953978269237,1.2394192290923036,4.281689247351289,5.222039737638748
Dominica,4.183507837644345,2.217544356802275,65.31014545399226,2.4931539620684404,1.2712528391205835,4.146742266559904,1.2446686725611817
Dominican Republic,10.169470051751505,5.169818333319405,28.1181321382256,18.292240392175177,2.0659629798573427,3.339291591621046,2.2100256206023943
